 98CACA001.VUU    .2000000E+00  8
    40.0000   20.0000    1.1200    1.0000    -.5521
    40.0000   20.0000    1.0000   -1.0000     .5521
     2.0000     .2000    1.0000    4.0000     .7500
   140.0000    1.0000     .0500     .0000  111.0000
      .0000     .0000
 98CACA001.VUU    .2000000E+00  8
 97CACA400.VUU    .7999992E+02  8
    40.0000   20.0000    1.1200    1.0000    -.5521
    40.0000   20.0000    1.0000   -1.0000     .5521
     2.0000     .2000    1.0000    4.0000     .7500
   140.0000    1.0000     .0500     .0000  111.0000
      .0000     .0000
 97CACA400.VUU    .7999992E+02  8
 95CACA400.VUU   -.9990000E+03  8
  98   5  45   1
 98   80     0  .2000000E+01
 98       0       0       0
    0    0    0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    0    0    0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    0    0    0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    0    0    0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    0    0    0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  -.40778E+01   .16585E+01  -.42008E+01   .0000   .1308   .5089  .9380 2  -1  0
  -.26801E+01  -.10594E+01  -.26844E+01  -.0539   .0328   .3939  .9380 2  -1  0
  -.48524E+00   .41947E-01  -.44117E+01  -.0954  -.1286   .6186  .9380 2  -1  0
  -.63250E+00  -.62233E+00  -.55201E+01   .0749   .1321   .6387  .9380 2  -1  0
  -.13220E+01  -.30819E+01  -.40630E+01   .0534  -.0656   .5149  .9380 2  -1  0
   .13906E+01   .23486E+01  -.29764E+01  -.0630   .1302   .4769  .9380 2  -1  0
  -.15972E+00  -.27725E+01  -.25676E+01   .0821   .1082   .3913  .9380 2  -1  0
  -.17374E+01   .28277E+01  -.37223E+01  -.0270  -.0234   .6694  .9380 2  -1  0
   .18299E+01  -.77905E+00  -.31231E+01   .0177  -.0013   .7361  .9380 2  -1  0
  -.29906E+01   .10140E+01  -.31119E+01   .0672  -.0444   .5918  .9380 2  -1  0
  -.10165E+01   .20064E+01  -.62513E+01   .0250   .1217   .5572  .9380 2  -1  0
  -.66303E+00   .36377E+00  -.50085E+00  -.1390   .0467   .5322  .9380 2  -1  0
  -.38491E+01   .73244E+00  -.24037E+01  -.0401  -.1569   .4588  .9380 2  -1  0
   .10762E+01   .18163E+00  -.16499E+01   .0321  -.1823   .5426  .9380 2  -1  0
  -.11182E+00  -.19807E+01  -.31027E+01   .0706  -.1338   .4729  .9380 2  -1  0
   .49774E-01  -.22643E+01  -.14861E+01   .0236  -.0676   .4637  .9380 2  -1  0
  -.27054E+01   .78113E+00  -.11853E+01  -.0201  -.1265   .6122  .9380 2  -1  0
  -.24298E+01   .55244E+00  -.44216E+01  -.0456   .0998   .5837  .9380 2  -1  0
   .79583E+00  -.32011E+01  -.41082E+01  -.0221   .0678   .4443  .9380 2  -1  0
  -.29484E+01  -.19880E+01  -.28588E+01   .0433  -.1490   .4565  .9380 1  -1  0
   .83716E+00  -.19967E+00  -.14972E+01  -.0727  -.1416   .5058  .9380 1  -1  0
  -.69977E+00  -.81523E+00  -.12871E+01  -.0452  -.1316   .6755  .9380 1  -1  0
  -.13547E+01   .19804E+01  -.50780E+01   .1133  -.0026   .6789  .9380 1  -1  0
  -.10945E+01  -.57316E+00  -.10772E+01   .0391  -.0278   .3967  .9380 1  -1  0
   .79029E+00  -.33504E+01  -.42722E+01   .0720  -.1008   .4652  .9380 1  -1  0
  -.19126E+00   .42232E+00  -.44623E+01  -.0487  -.0521   .5178  .9380 1  -1  0
  -.25430E+01   .10620E+01  -.15275E+01   .0929  -.0746   .5954  .9380 1  -1  0
   .10286E+01  -.41351E+00  -.46340E+01   .0595  -.0043   .5051  .9380 1  -1  0
  -.19968E+01   .10634E+01  -.20321E+01  -.1594   .1041   .5575  .9380 1  -1  0
  -.18024E+01  -.10605E+01  -.56097E+01   .0538   .0689   .6435  .9380 1  -1  0
   .16619E+01   .84587E-01  -.58567E+01   .1446   .0339   .6823  .9380 1  -1  0
   .15326E+00  -.12743E+01  -.12538E+01  -.0979   .1376   .6505  .9380 1  -1  0
  -.27214E+01   .21016E+01  -.49335E+01   .0676  -.0724   .5204  .9380 1  -1  0
  -.45247E+01   .67780E+00  -.37098E+01  -.1359   .1208   .5347  .9380 1  -1  0
  -.31479E+01   .25421E+01  -.36716E+01  -.1506   .0501   .6552  .9380 1  -1  0
   .57931E-01  -.22965E+00  -.29475E+01   .1132  -.0867   .5584  .9380 1  -1  0
  -.22380E+01   .23362E+01  -.26972E+01  -.0430   .1363   .4322  .9380 1  -1  0
   .29084E+00  -.34154E+01  -.26446E+01   .0514  -.0047   .7078  .9380 1  -1  0
  -.10172E+01   .16342E+01  -.10394E+01  -.0735   .0965   .4868  .9380 1  -1  0
  98   5  45   2
 98   80     0  .2000000E+01
 98       0       0       0
    0    0    0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
