   36    17.829   -28.558352127  8244.717536849   133.590861139     0.021170143     0.035735056     0.003089430     0.005284555    216    -0.000528868      7      99.056     121.094 / 140.250
   37    18.329   -28.558915560  8244.609410699   133.590850400     0.022714856     0.038377253     0.002982013     0.005106257    221    -0.000493392      7     101.239     121.031 / 140.250
   38    18.829   -28.559441220  8244.505191195   133.590840383     0.024205861     0.040930300     0.002878173     0.004933276    226    -0.000460190      7     103.326     121.121 / 140.281
   39    19.329   -28.559931480  8244.404743259   133.590831042     0.025644946     0.043396857     0.002777780     0.004765517    231    -0.000429126      7     105.333     121.137 / 140.551
   40    19.829   -28.560388621  8244.307935644   133.590822334     0.027033834     0.045779535     0.002680709     0.004602877    236    -0.000400072      7     107.320     120.996 / 140.551
   41    20.329   -28.560814788  8244.214641050   133.590814218     0.028374187     0.048080892     0.002586848     0.004445249    241    -0.000372908      7     109.196     120.973 / 140.551
   42    20.829   -28.561211996  8244.124736109   133.590806656     0.029667609     0.050303436     0.002496095     0.004292522    246    -0.000347518      7     111.021     121.031 / 140.551
   43    21.329   -28.561582140  8244.038101354   133.590799612     0.030915654     0.052449615     0.002408350     0.004144581    251    -0.000323794      7     113.105     121.270 / 140.551
   44    21.829   -28.561926995  8243.954621157   133.590793051     0.032119826     0.054521825     0.002323521     0.004001314    256    -0.000301633      7     114.985     121.207 / 140.551
   45    22.329   -28.562248228  8243.874183658   133.590786943     0.033281584     0.056522401     0.002241519     0.003862603    261    -0.000280937      7     116.802     121.547 / 140.551
   46    22.829   -28.562547404  8243.796680687   133.590781258     0.034402341     0.058453622     0.002162258     0.003728336    266    -0.000261615      7     118.892     121.430 / 140.551
   47    23.329   -28.562825988  8243.722007674   133.590775966     0.035483467     0.060317710     0.002085655     0.003598395    271    -0.000243581      7     120.769     121.570 / 140.551
   48    23.829   -28.563085352  8243.650063563   133.590771043     0.036526291     0.062116827     0.002011631     0.003472666    276    -0.000226753      7     122.698     121.078 / 140.551
   49    24.329   -28.563326785  8243.580750708   133.590766463     0.037532104     0.063853081     0.001940106     0.003351038    281    -0.000211055      7     124.529     121.207 / 140.551
   50    24.829   -28.563551488  8243.513974788   133.590762204     0.038502154     0.065528521     0.001871005     0.003233396    286    -0.000196413      7     126.449     121.184 / 140.551
   51    25.329   -28.563760591  8243.449644706   133.590758243     0.039437653     0.067145141     0.001804254     0.003119630    291    -0.000182760      7     128.406     121.094 / 140.551
   52    25.829   -28.563955147  8243.387672493   133.590754560     0.040339777     0.068704878     0.001739780     0.003009631    296    -0.000170032      7     130.315     121.684 / 140.551
   53    26.329   -28.564136143  8243.327973217   133.590751138     0.041209664     0.070209617     0.001677514     0.002903291    301    -0.000158169      7     132.242     121.082 / 140.551
   54    26.829   -28.564304501  8243.270464887   133.590747957     0.042048418     0.071661187     0.001617385     0.002800505    306    -0.000147114      7     134.118     120.887 / 140.551
   55    27.329   -28.564461081  8243.215068362   133.590745002     0.042857107     0.073061365     0.001559328     0.002701168    311    -0.000136814      7     136.012     121.516 / 140.551
   56    27.829   -28.564606690  8243.161707261   133.590742257     0.043636768     0.074411875     0.001503276     0.002605178    316    -0.000127220      7     137.895     121.422 / 140.551
   57    28.329   -28.564742080  8243.110307876   133.590739707     0.044388403     0.075714391     0.001449167     0.002512435    321    -0.000118285      7     139.861     121.148 / 140.586
   58    28.829   -28.564867952  8243.060799085   133.590737339     0.045112983     0.076970537     0.001396937     0.002422842    326    -0.000109964      7     141.684     121.742 / 140.586
