   35    15.665   -29.062547539 23178.615932075   152.888239757     0.083881190     0.166762641     0.004390488     0.007899473    207    -0.000920006     10     737.141     916.832 / 1078.746
   36    16.165   -29.063575804 23178.437243245   152.888681404     0.086066226     0.169464612     0.004286005     0.007729184    214    -0.000879374     10     753.724     919.254 / 1078.746
   37    16.665   -29.064558017 23178.263027497   152.889112730     0.088199681     0.172155223     0.004183732     0.007560383    221    -0.000840196     10     770.380     916.832 / 1079.328
   38    17.165   -29.065496849 23178.093207367   152.889533917     0.090282627     0.174830075     0.004083598     0.007393252    228    -0.000802447     10     786.985     917.719 / 1079.328
   39    17.665   -29.066393856 23177.927703233   152.889945244     0.092316098     0.177485208     0.003985499     0.007227946    235    -0.000766094     10     803.552     937.484 / 1079.328
   40    18.165   -29.067250564 23177.766433911   152.890346957     0.094301078     0.180117071     0.003889354     0.007064597    242    -0.000731107     10     819.816     920.922 / 1079.328
   41    18.665   -29.068068470 23177.609317132   152.890739278     0.096238510     0.182722505     0.003795099     0.006903320    249    -0.000697454     10     836.977     917.719 / 1079.852
   42    19.165   -29.068849038 23177.456269934   152.891122410     0.098129305     0.185298722     0.003702684     0.006744209    256    -0.000665103     10     852.888     925.195 / 1079.852
   43    19.665   -29.069593700 23177.307208992   152.891496544     0.099974351     0.187843274     0.003612066     0.006587348    263    -0.000634022     10     868.699     937.066 / 1079.852
   44    20.165   -29.070303854 23177.162050890   152.891861858     0.101774517     0.190354030     0.003523212     0.006432804    270    -0.000604178     10     885.620     920.598 / 1079.852
   45    20.665   -29.070980863 23177.020712356   152.892218524     0.103530655     0.192829151     0.003436093     0.006280635    277    -0.000575538     10     902.055     917.461 / 1079.852
   46    21.165   -29.071626056 23176.883110451   152.892566709     0.105243607     0.195267058     0.003350687     0.006130890    284    -0.000548070     10     918.390     917.094 / 1079.852
   47    21.665   -29.072240725 23176.749162733   152.892906571     0.106914201     0.197666415     0.003266971     0.005983606    291    -0.000521739     10     935.172     918.379 / 1079.852
   48    22.165   -29.072826126 23176.618787401   152.893238270     0.108543260     0.200026105     0.003184926     0.005838816    298    -0.000496512     10     951.747     919.324 / 1079.852
   49    22.665   -29.073383479 23176.491903406   152.893561957     0.110131597     0.202345205     0.003104535     0.005696543    305    -0.000472355     10     968.372     916.832 / 1079.852
   50    23.165   -29.073913965 23176.368430553   152.893877785     0.111680016     0.204622975     0.003025780     0.005556805    312    -0.000449234     10     984.692     934.957 / 1079.852
   51    23.665   -29.074418731 23176.248289581   152.894185903     0.113189318     0.206858831     0.002948646     0.005419614    319    -0.000427117     10    1001.795     916.832 / 1079.852
   52    24.165   -29.074898885 23176.131402242   152.894486459     0.114660293     0.209052338     0.002873116     0.005284978    326    -0.000405969     10    1017.319     916.832 / 1079.852
   53    24.665   -29.075355501 23176.017691351   152.894779598     0.116093727     0.211203191     0.002799174     0.005152899    333    -0.000385758     10    1034.137     916.832 / 1081.543
   54    25.165   -29.075789614 23175.907080844   152.895065466     0.117490399     0.213311200     0.002726804     0.005023377    340    -0.000366451     10    1051.636     919.254 / 1081.543
   55    25.665   -29.076202224 23175.799495815   152.895344204     0.118851078     0.215376283     0.002655988     0.004896404    347    -0.000348015     10    1068.142     919.254 / 1081.543
   56    26.165   -29.076594956 23175.694160336   152.895619209     0.120173505     0.217398528     0.002591201     0.004770088    353    -0.000330479     10    1082.910     920.637 / 1081.543
   57    26.665   -29.076967819 23175.591716591   152.895885868     0.121463803     0.219376685     0.002525390     0.004647444    359    -0.000313717     10    1098.407     919.254 / 1081.543
   58    27.165   -29.077315013 23175.492139862   152.895897408     0.001262695     0.002323722     0.002459742     0.004524401    362    -0.000297337     11    1106.463     920.785 / 1131.016
   59    27.665   -29.077644121 23175.395435149   152.895909822     0.002492566     0.004585918     0.002394427     0.004404714    365    -0.000281744     11    1115.299     971.090 / 1131.016
   60    28.165   -29.077955876 23175.301499193   152.895922985     0.003689779     0.006788266     0.002330050     0.004288006    369    -0.000266907     11    1126.620     971.090 / 1131.465
   61    28.665   -29.078251271 23175.210245326   152.895936741     0.004854804     0.008932256     0.002266885     0.004174060    373    -0.000252794     11    1136.649     971.090 / 1131.465
   62    29.165   -29.078531053 23175.121595484   152.895950978     0.005988245     0.011019270     0.002205057     0.004062745    377    -0.000239375     11    1148.150     974.059 / 1132.039
   63    29.665   -29.078795989 23175.035476924   152.895965588     0.007090772     0.013050623     0.002144625     0.003953973    381    -0.000226621     11    1158.117     972.391 / 1132.039
   64    30.165   -29.079046811 23174.951820447   152.895980479     0.008163083     0.015027588     0.002085611     0.003847685    385    -0.000214502     11    1167.827     989.812 / 1132.137
   65    30.665   -29.079284223 23174.870559469   152.895995572     0.009205886     0.016951407     0.002028017     0.003743837    389    -0.000202990     11    1177.580     972.699 / 1132.137
   66    31.165   -29.079508896 23174.791629496   152.896010800     0.010219893     0.018823299     0.001971832     0.003642389    393    -0.000192059     11    1187.733     974.230 / 1132.137
   67    31.665   -29.079721470 23174.714967826   152.896026105     0.011205807     0.020644467     0.001917041     0.003543310    397    -0.000181681     11    1197.641     974.188 / 1132.723
   68    32.165   -29.079922558 23174.640513363   152.896041439     0.012164325     0.022416094     0.001863620     0.003446565    401    -0.000171832     11    1208.587     968.301 / 1132.723
   69    32.665   -29.080112746 23174.568206505   152.896056761     0.013096134     0.024139348     0.001811548     0.003352122    405    -0.000162488     11    1218.672     972.578 / 1132.723
