   35     0.481   -26.612992281  8430.766578223   127.526415393     0.002430716     0.199985229     0.189721437    15.417972046    202    -1.866462183     22     102.850     228.383 / 247.289
   36     0.494   -26.662900166  8439.431661710   127.390558584     0.004891569     0.399963871     0.192202929    15.433501324    208    -1.818669873     22     106.693     228.184 / 247.414
   37     0.507   -26.711393635  8448.289489297   127.256243439     0.002490530     0.199984493     0.194603437    15.446998560    213    -1.772345463     23     109.601     235.320 / 254.480
   38     0.520   -26.758521969  8457.337975275   127.123423013     0.005009955     0.399962361     0.196926235    15.458737858    219    -1.727433850     23     112.841     235.496 / 254.605
   39     0.533   -26.804332752  8466.575710822   126.992065994     0.002547559     0.199983774     0.199174510    15.469063306    224    -1.683882497     24     115.752     242.668 / 261.609
   40     0.545   -26.848869339  8476.000257243   126.862132497     0.005122476     0.399961122     0.201351164    15.478306481    230    -1.641642943     24     119.670     242.621 / 261.809
   41     0.558   -26.892173595  8485.609742107   126.733597544     0.002601501     0.199983080     0.203459025    15.486889942    235    -1.600668968     25     122.460     249.672 / 268.844
   42     0.571   -26.934283489  8495.401248106   126.606428712     0.005228770     0.399959691     0.205500669    15.495249900    241    -1.560918070     25     125.469     249.715 / 268.898
   43     0.584   -26.975235578  8505.372277516   126.480608195     0.002652201     0.199982414     0.207478601    15.503957938    246    -1.522349804     26     128.178     249.281 / 275.992
   44     0.597   -27.015062669  8515.519208543   126.356112320     0.005328417     0.399957971     0.209395095    15.513654980    252    -1.484927266     26     131.677     253.219 / 276.090
   45     0.610   -27.053796024  8525.838614680   126.232932506     0.002699248     0.199981784     0.211252350    15.525214544    257    -1.448615626     27     134.978     255.258 / 283.289
   46     0.623   -27.091462999  8536.325738967   126.111056887     0.005420402     0.399955720     0.213052334    15.539708940    263    -1.413383708     27     138.085     255.973 / 283.289
   47     0.636   -27.128088877  8546.975618937   125.990490754     0.002741780     0.199981206     0.214796917    15.558673322    268    -1.379202801     28     141.055     271.246 / 290.324
