 -52787.30 -57487.30 -60178.60 -59342.10 -56077.10 -47377.10 -32607.10
a= 58  z= 24 to  30
 -52051.90 -55833.30 -62151.90 -59844.00 -60224.70 -51662.10 -42204.70
a= 59  z= 25 to  30
 -55477.10 -60661.60 -62226.40 -61153.30 -56352.70 -47232.70
a= 60  z= 25 to  30
 -52894.00 -61404.00 -61646.60 -64470.20 -58343.30 -54184.70
a= 61  z= 26 to  31
 -58926.60 -62897.00 -64219.10 -61980.40 -56341.80 -47541.80
a= 62  z= 26 to  31
 -58919.80 -61423.40 -66745.40 -62796.40 -61168.80 -51997.80
a= 63  z= 27 to  32
 -61838.90 -65512.50 -65578.40 -62210.90 -56690.90 -47290.90
a= 64  z= 27 to  32
 -59791.30 -67097.90 -65423.00 -66000.90 -58836.10 -54426.10
a= 65  z= 27 to  33
 -59159.50 -65124.80 -67261.20 -65909.30 -62653.60 -56411.90 -47311.90
a= 66  z= 28 to  33
 -66021.00 -66256.60 -68898.40 -63723.40 -61621.40 -52071.40
a= 67  z= 28 to  34
 -63743.60 -67303.00 -67879.00 -66878.00 -62655.20 -56645.20 -46855.20
a= 68  z= 28 to  34
 -63478.60 -65556.30 -70005.80 -67084.70 -66977.80 -58877.80 -54177.80
a= 69  z= 29 to  35
 -65744.40 -68416.70 -69322.10 -67096.90 -63080.10 -56292.20 -46792.20
a= 70  z= 29 to  35
 -62983.10 -69560.70 -68905.90 -70561.00 -64339.00 -61589.00 -51189.00
a= 71  z= 30 to  36
 -67324.60 -70141.10 -69905.40 -67892.80 -63092.80 -56492.80 -46292.80
a= 72  z= 30 to  36
 -68133.50 -68590.70 -72583.60 -68228.20 -67897.60 -58928.20 -53871.20
a= 73  z= 30 to  36
 -65003.90 -69703.90 -71294.80 -70948.60 -68208.70 -63630.90 -56893.00
a= 74  z= 30 to  37
 -65570.50 -67998.50 -73423.50 -70861.40 -72215.80 -65298.50 -62018.50 -52073.70
a= 75  z= 30 to  37
 -62364.90 -68464.90 -71857.60 -73035.90 -72172.10 -69162.10 -64162.10 -57554.20
a= 76  z= 30 to  37
 -62464.40 -66444.40 -73214.40 -72291.50 -75255.30 -70303.30 -68971.30 -60808.70
a= 77  z= 30 to  38
