 21 19   0.1666354E+00 18 20   0.2377851E+00 20 20  -0.2047869E-01
 21 21   0.2098779E-01 23 21   0.2012308E+00 20 22   0.1971371E+00
 24 22   0.1687108E+00 21 23   0.2351779E+00 23 23  -0.1795824E-01
 24 24   0.1834545E-01 26 24   0.2032309E+00 23 25   0.1953849E+00
 27 25   0.1703079E+00 24 26   0.2331838E+00 26 26  -0.1598894E-01
 27 27   0.1629345E-01 29 27   0.2048096E+00 26 28   0.1940091E+00
 30 28   0.1715750E+00 27 29   0.2316093E+00 29 29  -0.1440813E-01
 30 30   0.1465398E-01 29 31   0.1929002E+00
  1  3   0.1028689E+00  1  5  -0.1658711E+00  4  6   0.1181873E+00
  4  8  -0.1553286E+00  7  9   0.1241753E+00  7 11  -0.1505846E+00
 10 12   0.1273803E+00 10 14  -0.1478834E+00 13 15   0.1293786E+00
 13 17  -0.1461383E+00 16 18   0.1307440E+00 16 20  -0.1449180E+00
 19 21   0.1317365E+00 19 23  -0.1440164E+00 22 24   0.1324903E+00
 22 26  -0.1433232E+00 25 27   0.1330824E+00 25 29  -0.1427736E+00
 28 30   0.1335599E+00
  1  4  -0.1860968E+00  4  5  -0.1452546E+00  1  6   0.2038589E+00
  4  7  -0.1098470E+00  7  8  -0.1658232E+00  4  9   0.2074252E+00
  7 10  -0.7811660E-01 10 11  -0.1745743E+00  7 12   0.2063758E+00
 10 13  -0.6064785E-01 13 14  -0.1793718E+00 10 15   0.2050272E+00
 13 16  -0.4957578E-01 16 17  -0.1823843E+00 13 18   0.2038589E+00
 16 19  -0.4192678E-01 19 20  -0.1844449E+00 16 21   0.2029004E+00
 19 22  -0.3632462E-01 22 23  -0.1859404E+00 19 24   0.2021164E+00
 22 25  -0.3204413E-01 25 26  -0.1870737E+00 22 27   0.2014691E+00
 25 28  -0.2866666E-01 28 29  -0.1879615E+00 25 30   0.2009281E+00
 28 31  -0.2593360E-01
  4  3   0.1328032E+00  3  4   0.1328032E+00  5  4   0.1362700E+00
  4  5   0.1362700E+00  6  5  -0.5905441E-01  5  6  -0.5905441E-01
  7  6   0.1391877E+00  6  7   0.1391877E+00  8  7   0.1398865E+00
  7  8   0.1398865E+00  9  8  -0.6416571E-01  8  9  -0.6416571E-01
 10  9   0.1407017E+00  9 10   0.1407017E+00 11 10   0.1409518E+00
 10 11   0.1409518E+00 12 11  -0.6585234E-01 11 12  -0.6585234E-01
 13 12   0.1412891E+00 12 13   0.1412891E+00 14 13   0.1414058E+00
 13 14   0.1414058E+00 15 14  -0.6661707E-01 14 15  -0.6661707E-01
 16 15   0.1415769E+00 15 16   0.1415769E+00 17 16   0.1416407E+00
 16 17   0.1416407E+00 18 17  -0.6702834E-01 17 18  -0.6702834E-01
 19 18   0.1417392E+00 18 19   0.1417392E+00 20 19   0.1417778E+00
 19 20   0.1417778E+00 21 20  -0.6727505E-01 20 21  -0.6727505E-01
 22 21   0.1418397E+00 21 22   0.1418397E+00 23 22   0.1418647E+00
 22 23   0.1418647E+00 24 23  -0.6743461E-01 23 24  -0.6743461E-01
 25 24   0.1419061E+00 24 25   0.1419061E+00 26 25   0.1419233E+00
 25 26   0.1419233E+00 27 26  -0.6754375E-01 26 27  -0.6754375E-01
 28 27   0.1419523E+00 27 28   0.1419523E+00 29 28   0.1419646E+00
 28 29   0.1419646E+00 30 29  -0.6762171E-01 29 30  -0.6762171E-01
 31 30   0.1419858E+00 30 31   0.1419858E+00
  3  3   0.2936389E+00  5  3  -0.8608699E-01  4  4   0.8736360E-01
  6  4   0.1674786E+00  3  5  -0.8608699E-01  5  5  -0.8665425E-01
  7  5   0.1710644E+00  4  6   0.1674786E+00  6  6   0.1272597E+00
  8  6  -0.9262007E-01  5  7   0.1710644E+00  7  7   0.3043891E-01
  9  7   0.1868038E+00  6  8  -0.9262007E-01  8  8  -0.6288648E-01
 10  8   0.1878924E+00  7  9   0.1868038E+00  9  9   0.8062172E-01
 11  9  -0.9434056E-01  8 10   0.1878924E+00 10 10   0.1539367E-01
 12 10   0.1931740E+00  9 11  -0.9434056E-01 11 11  -0.4896520E-01
 13 11   0.1936361E+00 10 12   0.1931740E+00 12 12   0.5888251E-01
 14 12  -0.9503955E-01 11 13   0.1936361E+00 13 13   0.9278629E-02
