 37 37   0.1000000E+01
  1  4  -0.4472136E+00  4  7  -0.4780914E+00  7 10  -0.4879500E+00
 10 13  -0.4923660E+00 13 16  -0.4947274E+00 16 19  -0.4961389E+00
 19 22  -0.4970501E+00 22 25  -0.4976726E+00 25 28  -0.4981167E+00
 28 31  -0.4984447E+00 31 34  -0.4986939E+00 34 37  -0.4988876E+00

  1  1   0.2000000E+00  4  4   0.4285714E+00  1  7   0.2138090E+00
  7  7   0.4666666E+00  4 10   0.2332847E+00 10 10   0.4805195E+00
  7 13   0.2402499E+00 13 13   0.4871795E+00 10 16   0.2435869E+00
 16 16   0.4909090E+00 13 19   0.2454535E+00 19 19   0.4932126E+00
 16 22   0.2466059E+00 22 22   0.4947368E+00 19 25   0.2473682E+00
 25 25   0.4957983E+00 22 28   0.2478991E+00 28 28   0.4965675E+00
 25 31   0.2482837E+00 31 31   0.4971429E+00 28 34   0.2485714E+00
 34 34   0.4975845E+00 31 37   0.2487922E+00 37 37   0.4979310E+00

  3  3   0.1000000E+01  4  4   0.1000000E+01  5  5   0.1000000E+01
  6  6   0.1000000E+01  7  7   0.1000000E+01  8  8   0.1000000E+01
  9  9   0.1000000E+01 10 10   0.1000000E+01 11 11   0.1000000E+01
 12 12   0.1000000E+01 13 13   0.1000000E+01 14 14   0.1000000E+01
 15 15   0.1000000E+01 16 16   0.1000000E+01 17 17   0.1000000E+01
 18 18   0.1000000E+01 19 19   0.1000000E+01 20 20   0.1000000E+01
 21 21   0.1000000E+01 22 22   0.1000000E+01 23 23   0.1000000E+01
 24 24   0.1000000E+01 25 25   0.1000000E+01 26 26   0.1000000E+01
 27 27   0.1000000E+01 28 28   0.1000000E+01 29 29   0.1000000E+01
 30 30   0.1000000E+01 31 31   0.1000000E+01 32 32   0.1000000E+01
 33 33   0.1000000E+01 34 34   0.1000000E+01 35 35   0.1000000E+01
 36 36   0.1000000E+01 37 37   0.1000000E+01 38 38   0.1000000E+01
 39 39   0.1000000E+01 40 40   0.1000000E+01 41 41   0.1000000E+01

  3  4  -0.4264014E+00  4  5  -0.2644429E+00  3  6  -0.3892494E+00
  5  6   0.7724869E-01  4  7  -0.4079627E+00  6  7  -0.1314414E+00
  5  8  -0.4187894E+00  7  8  -0.1000119E+00  6  9  -0.4550371E+00
  8  9   0.3597209E-01  7 10  -0.4599867E+00  9 10  -0.6354702E-01
  8 11  -0.4634898E+00 10 11  -0.5240224E-01  9 12  -0.4756725E+00
 11 12   0.2050978E-01 10 13  -0.4776582E+00 12 13  -0.3740722E-01
 11 14  -0.4791968E+00 13 14  -0.3222096E-01 12 15  -0.4847614E+00
 14 15   0.1320324E-01 13 16  -0.4857493E+00 15 16  -0.2463198E-01
 14 17  -0.4865561E+00 16 17  -0.2180708E-01 15 18  -0.4895604E+00
 17 18   0.9197146E-02 16 19  -0.4901216E+00 18 19  -0.1744260E-01
 17 20  -0.4905960E+00 19 20  -0.1573660E-01 18 21  -0.4924015E+00
 20 21   0.6769393E-02 19 22  -0.4927503E+00 21 22  -0.1299837E-01
 20 23  -0.4930525E+00 22 23  -0.1189002E-01 21 24  -0.4942219E+00
 23 24   0.5188871E-02 22 25  -0.4944534E+00 24 25  -0.1006005E-01
 23 26  -0.4946575E+00 25 26  -0.9299677E-02 24 27  -0.4954582E+00
 26 27   0.4103109E-02 25 28  -0.4956196E+00 27 28  -0.8016549E-02
 26 29  -0.4957640E+00 28 29  -0.7472407E-02 27 30  -0.4963362E+00
 29 30   0.3325399E-02 28 31  -0.4964531E+00 30 31  -0.6538112E-02
 29 32  -0.4965589E+00 31 32  -0.6135371E-02 30 33  -0.4969820E+00
 32 33   0.2749409E-02 31 34  -0.4970694E+00 33 34  -0.5434033E-02
 32 35  -0.4971492E+00 34 35  -0.5127642E-02 33 36  -0.4974709E+00
 35 36   0.2310998E-02 34 37  -0.4975380E+00 36 37  -0.4587788E-02
 35 38  -0.4975997E+00 37 38  -0.4349299E-02 36 39  -0.4978499E+00
 38 39   0.1969618E-02 37 40  -0.4979025E+00 39 40  -0.3924910E-02
 38 41  -0.4979512E+00 40 41  -0.3735646E-02
  3  3   0.3333333E+00  4  4   0.4181818E+00  3  5   0.8268982E-01
  5  5   0.2512820E+00  4  6   0.1991718E+00  6  6   0.3818182E+00
  3  7   0.2251194E+00  5  7   0.1396131E+00  7  7   0.4053006E+00
  4  8   0.1515470E+00  6  8  -0.3557388E-01  8  8   0.4015037E+00
  3  9   0.1771230E+00  5  9  -0.5021577E-01  7  9   0.8544385E-01
  9  9   0.4386554E+00  4 10   0.1876574E+00  6 10   0.8937752E-01
  8 10   0.6800610E-01 10 10   0.4465293E+00  5 11   0.1941046E+00
  7 11   0.7045883E-01  9 11  -0.2309863E-01 11 11   0.4476190E+00
  6 12   0.2164487E+00  8 12  -0.2661701E-01 10 12   0.4702070E-01
 12 12   0.4630780E+00  7 13   0.2197164E+00  9 13   0.4814736E-01
 11 13   0.3970333E-01 13 13   0.4665472E+00  8 14   0.2221028E+00
 10 14   0.4050160E-01 12 14  -0.1502335E-01 14 14   0.4675790E+00
  9 15   0.2305877E+00 11 15  -0.1626930E-01 13 15   0.2967313E-01
 15 15   0.4754441E+00 10 16   0.2320221E+00 12 16   0.3011117E-01
 14 16   0.2593646E-01 16 16   0.4772539E+00 11 17   0.2331561E+00
 13 17   0.2627008E-01 15 17  -0.1038952E-01 17 17   0.4779814E+00
 12 18   0.2373199E+00 14 18  -0.1093871E-01 16 18   0.2040727E-01
 18 18   0.4825175E+00 13 19   0.2380762E+00 15 19   0.2061187E-01
 17 19   0.1824801E-01 19 19   0.4835740E+00 14 20   0.2387025E+00
 16 20   0.1841132E-01 18 20  -0.7570855E-02 20 20   0.4840787E+00
 15 21   0.2410603E+00 17 21  -0.7849723E-02 19 21   0.1488718E-01
 21 21   0.4869293E+00 16 22   0.2415076E+00 18 22   0.1499526E-01
 20 22   0.1352863E-01 22 22   0.4875974E+00 17 23   0.2418896E+00
 19 23   0.1361778E-01 21 23  -0.5747568E-02 23 23   0.4879552E+00
 18 24   0.2433556E+00 20 24  -0.5903970E-02 22 24   0.1133661E-01
 24 24   0.4898623E+00 19 25   0.2436421E+00 21 25   0.1139899E-01
 23 25   0.1042702E-01 25 25   0.4903107E+00 20 26   0.2438921E+00
 22 26   0.1047975E-01 24 26  -0.4506078E-02 26 26   0.4905713E+00
 21 27   0.2448663E+00 23 27  -0.4600503E-02 25 27   0.8919336E-02
 27 27   0.4919096E+00 22 28   0.2450608E+00 24 28   0.8957826E-02
 26 28   0.8280758E-02 28 28   0.4922246E+00 23 29   0.2452334E+00
 25 29   0.8313917E-02 27 29  -0.3624787E-02 29 29   0.4924195E+00
 24 30   0.2459138E+00 26 30  -0.3685135E-02 28 30   0.7199921E-02
 30 30   0.4933945E+00 25 31   0.2460519E+00 27 31   0.7224943E-02
 29 31   0.6734531E-02 31 31   0.4936241E+00 26 32   0.2461760E+00
 28 32   0.6756414E-02 30 32  -0.2977550E-02 32 32   0.4937733E+00
 27 33   0.2466701E+00 29 33  -0.3017907E-02 31 33   0.5933546E-02
 33 33   0.4945055E+00 28 34   0.2467716E+00 30 34   0.5950511E-02
 32 34   0.5583968E-02 34 34   0.4946779E+00 29 35   0.2468639E+00
 31 35   0.5598988E-02 33 35  -0.2488657E-02 35 35   0.4947945E+00
 30 36   0.2472340E+00 32 36  -0.2516662E-02 34 36   0.4974023E-02
 36 36   0.4953582E+00 31 37   0.2473109E+00 33 37   0.4985929E-02
 35 37   0.4704803E-02 37 37   0.4954909E+00 32 38   0.2473813E+00
 34 38   0.4715454E-02 36 38  -0.2110572E-02 38 38   0.4955837E+00
 33 39   0.2476658E+00 35 39  -0.2130611E-02 37 39   0.4229687E-02
 39 39   0.4960269E+00 34 40   0.2477254E+00 36 40   0.4238289E-02
 38 40   0.4017964E-02 40 40   0.4961312E+00 35 41   0.2477804E+00
 37 41   0.4025724E-02 39 41  -0.1812280E-02 41 41   0.4962061E+00

  2  2   0.1000000E+01  3  3   0.1000000E+01  5  5   0.1000000E+01
  6  6   0.1000000E+01  8  8   0.1000000E+01  9  9   0.1000000E+01
 11 11   0.1000000E+01 12 12   0.1000000E+01 14 14   0.1000000E+01
 15 15   0.1000000E+01 17 17   0.1000000E+01 18 18   0.1000000E+01
 20 20   0.1000000E+01 21 21   0.1000000E+01 23 23   0.1000000E+01
 24 24   0.1000000E+01 26 26   0.1000000E+01 27 27   0.1000000E+01
 29 29   0.1000000E+01 30 30   0.1000000E+01 32 32   0.1000000E+01
 33 33   0.1000000E+01 35 35   0.1000000E+01 36 36   0.1000000E+01
 38 38   0.1000000E+01
  2  3  -0.2000000E+00  2  5  -0.4000000E+00  3  6  -0.4000000E+00
  5  6  -0.8571428E-01  5  8  -0.4517539E+00  6  9  -0.4517539E+00
  8  9  -0.4761904E-01  8 11  -0.4714045E+00  9 12  -0.4714045E+00
 11 12  -0.3030303E-01 11 14  -0.4810457E+00 12 15  -0.4810457E+00
 14 15  -0.2097902E-01 14 17  -0.4865042E+00 15 18  -0.4865042E+00
 17 18  -0.1538461E-01 17 20  -0.4898979E+00 18 21  -0.4898979E+00
 20 21  -0.1176471E-01 20 23  -0.4921529E+00 21 24  -0.4921529E+00
 23 24  -0.9287924E-02 23 26  -0.4937279E+00 24 27  -0.4937279E+00
 26 27  -0.7518794E-02 26 29  -0.4948716E+00 27 30  -0.4948716E+00
 29 30  -0.6211177E-02 29 32  -0.4957284E+00 30 33  -0.4957284E+00
 32 33  -0.5217388E-02 32 35  -0.4963869E+00 33 36  -0.4963869E+00
 35 36  -0.4444443E-02 35 38  -0.4969040E+00
  2  2   0.2000000E+00  3  3   0.2000000E+00  3  5   0.1142857E+00
  5  5   0.3714285E+00  2  6   0.1142857E+00  6  6   0.3714285E+00
  2  8   0.1807016E+00  6  8   0.6023386E-01  8  8   0.4285714E+00
  3  9   0.1807016E+00  5  9   0.6023386E-01  9  9   0.4285714E+00
  5 11   0.2129588E+00  9 11   0.3673282E-01 11 11   0.4545454E+00
  6 12   0.2129588E+00  8 12   0.3673282E-01 12 12   0.4545454E+00
  8 14   0.2267671E+00 12 14   0.2466901E-01 14 14   0.4685314E+00
  9 15   0.2267671E+00 11 15   0.2466901E-01 15 15   0.4685314E+00
 11 17   0.2340307E+00 15 17   0.1769106E-01 17 17   0.4769230E+00
 12 18   0.2340307E+00 14 18   0.1769106E-01 18 18   0.4769230E+00
 14 20   0.2383374E+00 18 20   0.1330040E-01 20 20   0.4823529E+00
 15 21   0.2383374E+00 17 21   0.1330040E-01 21 21   0.4823529E+00
 17 23   0.2411047E+00 21 23   0.1036111E-01 23 23   0.4860681E+00
 18 24   0.2411047E+00 20 24   0.1036111E-01 24 24   0.4860681E+00
 20 26   0.2429897E+00 24 26   0.8297946E-02 26 26   0.4887218E+00
 21 27   0.2429897E+00 23 27   0.8297946E-02 27 27   0.4887218E+00
 23 29   0.2443320E+00 27 29   0.6794576E-02 29 29   0.4906832E+00
 24 30   0.2443320E+00 26 30   0.6794576E-02 30 30   0.4906832E+00
 26 32   0.2453219E+00 30 32   0.5665466E-02 32 32   0.4921739E+00
 27 33   0.2453219E+00 29 33   0.5665466E-02 33 33   0.4921739E+00
 29 35   0.2460731E+00 33 35   0.4796006E-02 35 35   0.4933333E+00
 30 36   0.2460731E+00 32 36   0.4796006E-02 36 36   0.4933333E+00
 32 38   0.2466567E+00 36 38   0.4112307E-02 38 38   0.4942529E+00

  7  7   0.1000000E+01  9  9   0.1000000E+01 11 11   0.1000000E+01
 13 13   0.1000000E+01 14 14   0.1000000E+01 16 16   0.1000000E+01
 18 18   0.1000000E+01 19 19   0.1000000E+01 20 20   0.1000000E+01
 22 22   0.1000000E+01 24 24   0.1000000E+01 25 25   0.1000000E+01
 26 26   0.1000000E+01 28 28   0.1000000E+01 30 30   0.1000000E+01
 31 31   0.1000000E+01 32 32   0.1000000E+01 34 34   0.1000000E+01
 36 36   0.1000000E+01 37 37   0.1000000E+01 38 38   0.1000000E+01
 40 40   0.1000000E+01 42 42   0.1000000E+01 43 43   0.1000000E+01
 44 44   0.1000000E+01 46 46   0.1000000E+01 48 48   0.1000000E+01
 49 49   0.1000000E+01 50 50   0.1000000E+01 52 52   0.1000000E+01
 54 54   0.1000000E+01 55 55   0.1000000E+01 56 56   0.1000000E+01
 58 58   0.1000000E+01 60 60   0.1000000E+01 61 61   0.1000000E+01
 62 62   0.1000000E+01 64 64   0.1000000E+01 66 66   0.1000000E+01
 67 67   0.1000000E+01 68 68   0.1000000E+01 70 70   0.1000000E+01
 72 72   0.1000000E+01 73 73   0.1000000E+01 74 74   0.1000000E+01
 76 76   0.1000000E+01 78 78   0.1000000E+01 79 79   0.1000000E+01
 80 80   0.1000000E+01 82 82   0.1000000E+01
  7  9  -0.4667537E+00  9 11  -0.3648929E+00  7 13   0.1014524E+00
 11 13  -0.2431337E+00  7 14  -0.3126059E+00 11 14   0.4928776E-01
  9 16  -0.3548480E+00 13 16   0.1017995E+00 14 16  -0.1621611E+00
 11 18  -0.3742582E+00 16 18  -0.1649368E+00 13 19  -0.3840331E+00
 14 19  -0.2695482E-14 18 19  -0.1193184E+00 13 20   0.1913279E-01
 14 20  -0.4177271E+00 18 20   0.3225480E-01 16 22  -0.4286373E+00
 19 22   0.5477330E-01 20 22  -0.8652616E-01 18 24  -0.4361115E+00
 22 24  -0.9322929E-01 19 25  -0.4402187E+00 20 25   0.7478644E-14
 24 25  -0.7060397E-01 19 26   0.6155953E-02 20 26  -0.4533570E+00
 24 26   0.2064300E-01 22 28  -0.4576267E+00 25 28   0.3414968E-01
 26 28  -0.5353162E-01 24 30  -0.4612046E+00 28 30  -0.5979161E-01
 25 31  -0.4632971E+00 26 31  -0.5612041E-14 30 31  -0.4660741E-01
